id	 1hr	 2hr	 3hr	 4hr	 6hr	 7hr	 8hr	 9hr	10hr
S3_H_T17328	7.392	6.7292	6.2224	5.5519	4.8074	4.3867	3.4078	3.2224	3.2224
S3_H_T17332	6.4771	5.3399	5.7907	5.382	4.6818	4.3226	3.5778	3.2224	3.2224
S3_H_T17344	7.5935	6.5044	6.4937	5.8738	5.3099	4.9506	4.1083	3.2224	3.2224
S3_H_T17346	7.6184	6.9493	6.8563	6.4905	6.0298	5.9923	4.8002	3.55	3.3091
S3_H_T17350	6.0718	5.1307	4.6864	4.382	3.2224	3.2224	3.2224	3.2224	3.2224
S3_H_T17351	6.607	5.715	6.0369	6.0258	5.8074	5.1485	3.8673	3.2224	3.2224
S3_H_T17353	7.0704	6.4332	6.1973	5.8083	5.1293	5.033	4.1083	3.3278	3.2224
S3_H_T1736	6.504	5.7447	5.5739	5.3362	4.6818	4.1112	3.2224	3.2224	3.2224
S3_H_T17365	6.273	5.8023	5.1193	4.382	3.2224	3.9507	3.2224	3.2224	3.2224
S3_H_T1737	6.8572	6.0604	6.3186	5.8083	5.6818	5.185	3.8673	3.2224	3.2224
S3_H_T17374	7.6428	6.9621	6.6124	5.9366	5.1293	5.033	4.5778	3.4975	3.2224
S3_H_T17376	5.6089	5.3004	5.0083	4.5519	3.8074	3.3229	3.2224	3.2224	3.2224
S3_H_T1738	6.2414	5.4157	5.2713	4.8414	4.8074	4.507	3.2224	3.2224	3.2224
S3_H_T17382	7.1234	6.7875	6.8402	6.6858	6.5078	5.7938	4.8673	3.2224	3.4893
S3_H_T17387	6.6316	6.174	6.2471	6.3362	5.5443	5.7699	4.5778	3.2224	3.2224
S3_H_T17388	7.392	6.6212	6.8722	6.6108	6.3099	5.6959	4.9928	3.2224	3.3091
S3_H_T17390	5.7048	4.9384	5.5739	4.9669	4.3923	3.5638	3.2224	3.2224	3.2224
S3_H_T17394	6.209	5.6846	5.6864	5.1369	5.0298	4.5636	3.4078	3.2224	3.2224
S3_H_T17397	6.958	5.8303	5.919	5.4694	4.5443	4.1851	3.8673	3.2224	3.2224
S3_H_T17399	6.142	5.4157	4.8239	4.1893	3.8074	3.5638	3.2224	3.2224	3.2224
S3_H_T174	5.9201	5.3399	5.7907	5.4264	5.0298	4.8631	3.9928	3.2224	3.2224
S3_H_T17405	6.142	5.9372	6.0923	5.9055	5.0298	4.3867	3.2224	3.2224	3.2224
S3_H_T17408	6.504	5.8023	6.0083	5.3362	5.0298	4.8173	3.7298	3.2224	3.2224
S3_H_T17410	8.0332	7.2583	7.1588	6.6299	6.4703	6.033	4.9928	3.55	3.5716
S3_H_T17412	6.4496	5.4522	5.2713	5.0258	3.5443	3.8633	3.5778	3.2224	3.2224
S3_H_T17413	8.4411	7.6208	7.6773	7.1099	6.1766	5.9716	4.7298	3.3866	3.7234
S3_H_T17415	6.7711	6.0124	5.4937	4.7039	4.8074	4.1112	3.2224	3.2224	3.2224
S3_H_T17420	7.6905	7.2271	7.2099	7.1764	6.5078	6.2381	5.5778	3.3278	4.1013
S3_H_T17426	5.6089	3.8344	6.3417	6.2149	5.8074	4.1851	3.9928	3.2224	3.2224
S3_H_T17428	7.2874	6.7875	6.2471	5.9967	5.1293	5.185	4.1083	3.2224	3.2224
S3_H_T17430	5.7048	5.2598	5.3644	5.1369	4.6818	4.3867	3.8673	3.2224	3.2224
S3_H_T17432	7.8771	7.1064	6.6124	6.3127	5.4703	5.1485	4.3147	3.2224	3.2224
S3_H_T17441	6.142	5.5564	5.0083	4.4694	4.2224	3.3229	3.2224	3.2224	3.2224
S3_H_T17442	6.4771	5.9877	5.3644	4.8414	4.2224	4.3226	3.5778	3.2224	3.2224
S3_H_T17448	8.6424	8.1175	7.9343	7.6108	7.1293	7.3306	6.4078	4.0998	4.4006
S3_H_T17449	5.9595	5.4878	5.3186	4.7743	4.2224	4.2555	3.7298	3.2224	3.2224
S3_H_T1745	6.273	5.4157	5.8239	5.4694	4.8074	4.9075	3.8673	3.2224	3.2224
S3_H_T17450	7.8564	7.2788	7.5344	7.2646	6.9229	6.6574	5.8997	3.8716	4.3548
S3_H_T17453	5.8795	5.3399	5.2713	4.7039	4.6818	4.1851	3.4078	3.2224	3.2224
S3_H_T17456	6.5304	5.9112	5.888	5.6674	5.1293	4.6705	3.5778	3.2224	3.2224
S3_H_T17460	6.5304	5.9112	5.6124	5.0824	3.8074	3.3229	3.2224	3.2224	3.2224
S3_H_T17461	7.1913	6.4332	6.5344	6.4264	6.2224	5.618	4.9928	3.2224	3.2224
S3_H_T17463	6.0718	5.1307	5.7567	5.3362	5.0298	4.2555	3.5778	3.2224	3.2224
