True_Degradation_Rate,Predicted_Degradation_Rate
-2.5324,-2.521608736925962
-3.1705,-2.4774750572562354
-1.2911,-1.6757249858648104
-1.6925,-1.9385767299616552
-1.8119,-2.3084419938092045
-1.4639,-1.6288988537350888
-1.3481,-1.4594886377822873
-1.9582,-2.4265003760232977
-2.2891,-2.303398836209752
-1.2858,-1.246086979839626
-1.3409,-1.5636601245109767
-2.6501,-2.542878563738122
-1.4946,-1.7766836825362262
-1.411,-1.7405963908127717
-1.2593,-0.9007550445628869
-1.5477,-1.0648370221251393
-1.8281,-2.501033138722657
-1.8979,-2.0792575593145006
-2.3754,-2.2844349123963967
-1.2976,-0.9887666325120805
-1.4802,-1.4046690702954794
-1.9107,-2.142697110138675
-5.0,-2.8966089178368946
-1.715,-2.1623377844829568
-2.3278,-2.0601225587616305
-2.0838,-1.8078088230783396
-1.7263,-1.6645758176284409
-2.1822,-2.0521835352012707
-2.0749,-2.615693404655008
-1.8489,-1.340240964246717
-2.4423,-1.773236220201102
-2.3185,-2.0893219005024437
-1.3842,-2.069175230072257
-1.6441,-1.8139371140431866
-1.581,-1.7846876294292577
-2.1261,-1.8689583559038294
-2.0526,-1.9959965617990996
-1.607,-2.239880452799092
-1.9632,-2.1360342912317294
-1.4589,-2.0042614595046935
-1.6186,-2.089080762716322
-1.276,-0.8344029160998445
-1.2703,-1.5193765044985987
-1.1026,-1.0800927168360666
-2.1919,-2.683685626270458
-2.3688,-1.8125135217204402
-2.2853,-2.0147189668736636
-1.2304,-1.4761004998083047
-1.8762,-2.105041235151711
-2.6409,-2.298839388655538
-1.058,-0.972509765062954
-1.2036,-1.2427294716656963
-2.1273,-1.8988533143349724
-2.6037,-2.539549469421988
-3.0175,-2.0771227055307357
-1.7013,-1.3895360491233635
-1.4183,-1.6385948653415119
-1.5824,-1.5621525290863167
-2.6104,-2.395353666282783
-2.0896,-1.710140891034257
-2.2204,-2.1845036557759703
-3.0314,-2.5210261242872303
-1.0487,-0.9977919890802738
-1.1347,-1.4323372709967934
-1.3623,-1.5058274815332302
-1.754,-1.4650032447026018
